;Mapudungun;Traduccion;Significado
351;afi ti pütrake cheyem ;Se terminaron las personas de edad.\n;1
352;eleneu ñi ñukeyem ;me dejó mi madre\n;1
353;püchake cheyem ;los grandes difuntos \n;1
354;femuelu tami awelayem ;así también tu difunta abuela \n;1
355;tam awelayem ;tu difunta abuela.\n;1
356;taiñ fücha ñi awelayem ;los viejos mi difunta abuela \n;1
357;ñi kuye ñi ñeñeyem ;mi madre mi difunta \n;1
358;tam awelayem ka ;y tu difunta abuela \n;1
359;femkelay tami awelayem kay ;no lo hacía tu difunta abuela \n;1
360;putukefuy tami awelayem ;lo bebia tu difunta abuela \n;1
361;kuyfi am taiñ fütakecheyem kiduengün rume;antes los antiguos tenían mucho,\n;1
362;feypikefeiñmu taiñ fütakecheyem ;nos decían los mayores  \n;1
363;taiñ pütakecheyem ;nuestros abuelos,\n;1
364;licenciakalu tañi abueluyem ;......................mi finada abuela \n;1
365;lo antiguo kümelekevuyem kuyfi  ;Los antiguos estaban bien ante \n;?
366;lo spaantiguo mülevuyem lawen ;lo antiguo había remedio \n;1
367;puebluyem mülekelay;pueblo ante no había.\n;?
368;füchakecheyem ta mülekefuy ;existían los finados ancianos\n;1
369;chi füchake mapucheyem  pu;los ancianos finados mapuche pues.\n;1
370;fey ngütamkakefenu ñi ñukeyem ngati ;pero mi finada madre \n;1
371;küme famkefuy tañi ñukeyem ;lo hacía bién mi madre\n;1
372;ta müte ta yapiwfuy ta füchakecheyem ;bastante duraban los ancianos\n;1
373;küñifalün elenew tañi wentruyem ;me dejó sola el que era mi esposo\n;1
374;pipatuenew ñi wentruyem fey ;Me vino a decir mi esposo eso.\n;1
375;fueyem kuyfikecheyem ;los antiguos llevaban \n\n;1
376;pikevuy taiñ abuelayem ;decía mi difunta abuela \n;1
377;tañi abuelayem ;mi difunta abuela \n;1
378;feyta piam reserva indigenayem kuyfi ;así le decían reserva indigena antes \n;2
379;tüfachi boskeyem ;este el que era bosque \n;2
380;feychi tiychi chod rayenngelu feyta chemkefuy tañi abuelayem  ;esa flor amarilla lo preparaba mi difunta abuela \n;1
381;we akun kuyfi ta inche santiaginayem chipan ;llege hace poco tiempo , era santiaguina , salí\n;2
382;veypikevun ñi pücha aweluyem ;decia el que fue mi abuelo\n;1
383;aweluyem kim küdawlay;mi finado abuelo no saben trabajar\n;1
384;inche tañi ñukeyem tañi rume weda ;mi finada madre estaba muy mal, \n;1
385;tañi ñukeyem tunte tañi nieteu ;mi madre cuanto me tuvo,\n ;1
386;ka inche tañi abuelayem ;y mi finada abuela\n;1
387;iñchiñ ñi abuelayem ;nuestra abuela\n;1
388;medikangefuy awelayem ;Era medica mi difunta abuela\n;1
389;welu uh rume füchayem engün;pero cuando ellos son muy mayores\n;?
390;lawen tañi  ñukeyem ve ;tenia conocimiento mi finada madre \n;1
391;fey may ta niekepefuy taiñ füchakecheyem ;si tenían toda la junta grande\n;1
392;taiñ ñukeyem ta kom;mi madre y todos \n;1
393;püchakecheyem tati ;las personas de edad pues\n;1
394;welu tañi pücha lakuyem pi;pero mi viejo abuelo paterno \n;1
395;inche tañi ñukeyem kutranlu kuyfi;Cuando mi madre se enfermó hace tiempo\n;1
396;füchakecheyem feypikefuy;las personas antiguas decían \n;1
397;pikefuy tañi fücha aweluyem erke tati ;decía mi gran abuelo pues. \n;1
398;feypüle küpafuy huaiquilao pingefuyem tañi nuke;Por ahí venía mi mamá que le llamaban huaiquilao;?
399;feypüle küpafuy tañi ñukeyem ;Por ahi venia mi mama.\n;1
400;perdey tañi wentruyem ;se murió  el que era mi esposo\n;1
401;femngi tañi pucheyem ta inche;así de que soy gente yo\n;1
402;filkayem fel kom;eran todo cuñao\n;2
403;re wekecheyem ñi latun engün;puro jovenes muriron pues\n;1
404;inche ñi wentruyem ka femipu;yo, mi esposo también le paso eo\n;1
405;tañi pucheyem ta femi;mi gente hizo esto\n;4
406;taiñ ñukeyem ;mi finada madre. \n;1
407;pikefeneu ñukeyem ;me decía mi finada madre. \n;1
408;welu ñukeyem kimnefuy lawen;pero mi finada madre conocía remedio \n;1
409;feyti itrokom ñi ñukeyem kimnefuy ;todo esto conocía mi madre. \n;1
410;veyta pengepay ñi ñukeyem  faw ;ellos vieron mi madre aqui\n;1
411;ta trür ngelay tañi chemu tañi uh parte ñukeyem ngelay ;no es igual mi condicion parte madre no hay\n;1
412;tranakunurpuenew tani ñukeyem nga;me dejó botada la era mi madre\n;1
413;feymay fey machiyem fey elungekepi kimün tüfey;Por eso es que una machi le dan conocimiento pues.\n;4
414;tan ñuke yem anta machingellelafuy;la que era mi madre fue machi pues.\n;1
415;inche ñi awelayem ñi koñi ti;la cría de la que era mi abuela\n;1
416;pu inche ñukeyem koñi;pues, la hija de la que era mi madre\n;1
417;fey ñi chi aweluyem nawmu;ella, la que era mi abuela en el bajo\n;1
418;fey malle yem tati rüf inan;y el que era mi tío, el más menor\n;1
419;feula kontupukefuy ñi koñiyem ;ahora lo iba ver los que eran mis hijos\n;1
420;sungun mu kimkefenew ñi malle yem ;por mi voz me reconocía el que era mi tío\n;1
421;tañi tami awelayem ;la que era tu abuela\n;1
422;tami kude awelayem ti mapu llenoantati fey fey ;esa tierra le pertenece la que  era tu abuela anciana, no.\n;1
423;feymu llemay ñi chi aweluyem ;por eso claro que su abuelo\n;1
424;ñi kureyem ;su ex esposa\n;2
425;ñi kude mamayem ;mi anciana madre\n;1
426;ñi pichi aweluyem ;el que era mi abuelito\n;1
427;rume kimvuy lawen tañi ñukeyem tati ;mucho sabía de remedio mi finada madre pues,\n;1
428;kimvuy ñi ñukeyem ;conocía mi finada madre\n;1
429;feyta tukefuy tañi ñukeyem ;Este lo sacaba mi madre \n;1
430;feyta wingkayem tüfa ;y el huinca ahora\n;?
431;inche tañi vücha malleyem tati ;mi gran tio paterno pues\n;1
432;ñi kude papayem veypikevuy nga tüvey ;mi viejita abuela decía eso pues\n;1
433;inche nga ñi wecha malleyem ;mi pobre finado tio paterno\n;1
434;vey ñi vücha cheyem ;y que era mi gran persona\n;1
435;feyta iñche tañi ñukeyem ;Pues mi madre fallecida\n;1
436;rume püukefuyem tañi ñukeyem ;mi madre fallecida era muy capacitada\n;1
437;iñche fey elueneu tañi ñukeyem elueneu ta lawen ;mi madre me dio eso, me dio remedios \n;1
438;feychi tañi ñukeyem lawentueneuem ka ;esa vez mi madre me dio remedios \n;1
439;ka lay tañi fütayem ;y tambien fallecio su esposo \n;1
440;lay tañi fütayem fey;Fallecio su marido, ese.\n;1
441;re felen konfempukelayaymün pikefiyu tañi ñukeyem ;mi madre decia que no teniamos que entrar así no mas\n;1
442;feypikevuy ta kuyfiche pütrakecheyem ;así decían las personas de antes.\n;1
443;vemiyüm ta pütakecheyem ;cuando le ocurría eso  a los antepasados\n;1
444;tañi chawyem sondatulelu ;cuando mi finado padre estaba con sonda\n;1
445;kisa petu mongelavuy tañi chawyem ;quizás aún estaría vivo mi finado padre\n;1
446;petu mongelavuyem ;aún estaría vivo\n;1
447;rakiduam konvule ta pikevuy tañi chawyem ;si entrara el pensamiento decía mi finado padre\n;1
448;tripay ñi kude kude ñukeyem ;salió mi mamá, mi difunta vieja madre \n;1
449;kidu mongelenu ñi kude kude ñukeyem noise ;sola me mejoró mi difunta vieja madre.\n;1
450;feli inche ñi ñuke yem ;Así, la difunta madre mía\n;1
451;inche ayentukefun ñi ñukeyem pu;yo me reía de mi difunta madre pues\n;1
452;kimkefuy pu ñukeyem ;Sabía pues mi difunta madre\n;1
453;inche afkadiawkefun ñi kude ñukeyem ;Yo andaba a la costilla de mi difunta madre\n;1
454;machireke mülekakevuy ñi ñukeyem pu;como machi solía estar mi madre pues\n;1
455;pikevuy tañi ñukeyem uh;desia mi madre \n;1
456;tañi ñukeyem fey vewla kay;mi madre pero ahora \n;1
457;pikefuy tañi mamayem noise ;decias mi madre.\n;1
458;chi nga ñukeyem tapül;la madre hoja\n;1
459;mi ñukeyem ka mi kude kuku ;tu finada madre y tu abuela\n;1
460;tañi piki tañi ñukeyem chau fey ;decía mi finada madre y mi padre, \n;1
461;laukelafuy longko pingekefuy kuyfiyem ;no se cae el cabello decían antiguamente\n;2
462;feyngi kuyfi ta kom yamkefuy pütakecheyem ;antes había mucho respeto nuestros viejos, \n;1
463;feypikevuy tañi kude abuelayem ngen ko ta müli ;mi fallecida abuela decía el agua tiene dueño \n;1
464;inche ñi kude abuelayem femkevuy ;mi difunta abuela \n;1
465;kintuyem keyukunukevuy ñi ñuke ;cuando buscaba le ayudaba a mi madre \n;1
466;ñi mamayem pikevun  spamamá pikevuy ñi spaabuela ;mi difunta mama decía mi abuela \n;1
467;fey femaymi pienu ñi abuelayem ;eso vas hacer me dijo mi difunta abuela \n;1
468;welu ñi abuelayem namuntu tremün piki ;pero mi difunta abuela a pata crecí decía, \n;1
469;spano kuyfi feykipevenu ñi abuelayem  ;no antes me decía mi difunta abuela \n;1
470;inche tañi papayem ;mi finada mamá \n;1
471;aguelayem machingekefuy kuyfi ta kuyfi ;finada abuela era machi antes, antes\n;1
472;noise kuyfi ta mülekefuy pütrakecheyem ;antes habían grandes ancianos\n;1
473;kom spaese yivi ta pütakecheyem ;todo eso comían los ancianos\n;1
474;pivuy ta pütakecheyem ;decían los ancianos\n;1
475;chumul pütakecheyem ;en dias pasados los ancianos\n;1
476;ka nieñmukakevuyem uvisa ;ta también tenía ovejas\n;?
477;longkoyem arküy veta de agua;las vertientes de agua se secaron\n;1
478;tañi mamayem ;mi finada madre\n;1
479;feymu nga amun pi tañi mamayem ;ahí pues fui dijo mi finada madre\n;1
480;tiayem ;Finada tía\n;1
481;ñi noise aguelayem may ;mi finada abuela pues\n;1
482;feymu mongeli ñi mamayem ;en esa oportunidad mi finada madre estaba viva\n;1
483;adkiñtuwüyem mapuche ta kümey;cuando se miran los mapuches es bueno\n;1
484;tañi elkünuetew ta  herencia  reke tañi kuse awelayem ;que me dejó como herencia mi finada abuela,\n;1
485;tañi awelitayem feyta inche re rukamu nien ;mí finada abuela esta, yo solo en la casa tuve \n;1
486; no inaramtungekefuy yem ;No siempre preguntaban\n;?
487;inche iñ ñukeyem ;mi difunta madre \n;1
488;wariamu puwi fey ñi ñukeyem ;Llegó a la ciudad por su finada madre\n;1
489;feymu ñi pen ñi kude kukuyem ;por eso lo que vio mi finada abuela\n;1
490;chuchilekevel pütakecheyem ;como estaban los ancianos\n;1
491;vemi afluam pütakecheyem ;si terminaron los ancianos\n;1
492;kuyfikecheyem aftuy ;los ancianos antiguo se acabo\n;1
493;ta ptakecheyem tañi kimün;es la sabiduria de los ancianos\n;1
494;antikuo cheyem aflu ;persona Antigua se termino \n;1
495;vantenmu finkanunmu ñi pu antikuo cheyem ;en este momento al no aumentar mi persona antiguo\n;1
496;aflu nga ñi noise nga ñi pucheyem cheyem ;si cuando llego, llego a terminar mi gente \n;1
497;noise pütakecheyem nga ñi kimün ;el conocimiento de los ancianos \n ;1
498;tañi noise ñukeyem ;la que fue mi mamá\n;1
499;pikefuy tañi fütakecheyem ;decian nuetros antepasados.\n;1
500;tañi fütakecheyem ;nuestros antepasados\n;1
501;tañi tokituyem noise   rume ;al usar demasiado el hacha\n;1
502;ñi ñukeyem nütramkarumewkefuyngu;mi difunta madre conversaban a veces\n;1
503;ñi ñukeyem falleci;tenía mi madre cuando falleció.\n;1
504;fengevuy ñukeyem ;así era mi mamá\n;1
505;operalay perdey ñi ñukeyem ;No lo operaron y murio mi mamá.\n\n;1
506;yeñmanu ñi ñukeyem ;me lo la fue mi mamá.\n;1
507;veychi kutran lleñmanu ñi ñukeyem ;Esta enfermedad me lo llevó la fue mi mamá.\n;1
508;ñi ñukeyem fey inakintuneken ;mi la era mi mamá eso observaba\n;1
509;ñi füchake cheyem ;a los ancianos ya difuntos \n;1
510;lafken lafken nasey ñi ñukeyem ka ;Del mar, en el mar nació su difunta madre \n;1
511;tami awelayem ;tu difunta abuela \n;1
512;perdeafulu tami awelayem ;se iba a perder tu difunta abuela \n;1
513;chumkefuy tami awelayem ;Como estaba tu difunta abuela\n;1
514;  fina manuela yem ;difunta Manuela, difunta \n;1
515;pikefeneu chi tami awelayem   pu ;me decía tu difunta abuela pues\n;1
516;ta ti porque tami tiayem ta llochayem ;porque tu difunta tía esta enferma\n;1
517;tañi naduyem ;Mi difunta cuñada \n;1
518;fütakecheyem feypiki;Las personas antiguas decian \n;1
519;pikefuy ta fütakecheyem ka;decían lo finado anciano pues. \n;1
520;taiñ fütakecheyem ta ;Nuestro anciono eran pues  \n\nM feypikefuy ka ;1
521;taiñ fütakecheyem fey;nuestro finado anciano  eso. \n;1
522;feymu ta taiñ fütakecheyem ;por eso nuestra persona anciana \n;1
523;feymu fey kintulelenu tañi ñukeyem ;allá  me buscó mi finada madre,\n;1
524;tañi agueluyem ta chau tañi agueluyem;mi difunto abuelo, mi abuelo por parte de padre\n;1
525;tañi longko ta piukeyem  aveces;mi cabeza y mi corazón, a veces\n;?
526;chumkefeneu ñi ñukeyem chi;lo que me hacía mi madre, \n;1
527;feyta mülekefuy ñi ñukeyem ;para esto estaba mi difunta madre\n;1
528;kuyfiyem felekelafuy dungu felekelafuy ;antoguamente las cosas no eran así, no eran así\n;2
529;falpakefun fücha aweluyem ;con el anciano, mi abuelo\n;1
530; y  era kuyfikecheyem üñamko ;y era los ancianos üñamko\n;1
531;tani ñukeyem cha;su finada madre \n;1
532;may kimünmu llemay pütakecheyem ;.Sí conocimiento claro anciano\n;1
533;kom wichulekevuy pi pütakecheyem ;.Todo aparte decia los anciano\n;1
534;inchiñ ta spaosea tañi kuyfikecheyem ta ;Nosotros, o sea   antiguamente nuestra gente\n;1
535;amuyi veymu ta amuy ta pücha malleyem ;Fueron, ahí y se fue mí tío\n;1
536;tañi ñukeyem inche   despue ;a mi madre yo después;1
537;fücha malleyem veyta veypikellevuy ;mi finado tío este no decía;1
538;pikevuy ta machi pikevuy taiñ füchakecheyem ;Decían la machi decía nuestros ancianos\n;1
539;chaweem inche ñi fücha malleyem ka ;finado padre yo mi anciano tío también\n;1
540;chem domongevel tañi ñukeyem ;Que mujer era mi finada madre \n;1
541;veymu ta fchakecheyem  ;por eso los finados ancianos \n;1
542;kuyfi ta cheyem ikefuy nalka ikefuy nalka;antes las personas comian nalcas, comian nalcas,\n;1
543;kuyfiyem we tripachi kila feyta ikefuy tati kuyfike che;antes cuando recien salia la quila, esao comia la gente antigua.\n;1
544;tay kudeyem feyti;de edad ella \n;1
545;ngillatuy ngillatuparkey ñi awelitayem ;hizo rogativa, vino a la rogativa mi abuelita fallecida\n;1
546;fey dapienu tañi kude ñukeyem ;entonces me cuidó mi anciana finada madre.\n;1
547;iñcheam ñi ñukeyem perimontungefulu ;como la madre mía tenía visión sobre natural\n;1
548;tañi kude ñukeyem ;mi finada anciana madre\n;1
549;fey tañi kude ñukeyem feyti;entonces mi finada anciana madre aquella\n;1
550;lonko yem piuke kom ;mi cabeza, corazon, todo\n;4
551;ta füchakeche yem ;de los ancianos\n;1
552;longkoem pi piwkeyem pipingi nga;sufre del dolor de cabeza y del corazon\n;1
553;piwkeyem pipingi;mi corazón decía\n;4
554;furiyem pi ;hay mi espalda decia \n;4
555;noise iñche ñi awelu aweluyem ;mi abuelo, mi finado abuelo\n;1
556;pütake spaabueluyem nütramkakevuy;Los grandes abuelos conversaban\n;1
557;kuyfi trempaviñ püta abueluyem ;antes vine a conocer a mi   gran finado abuelo\n;1
558;kiñe abuelayem entukevenu ;un abuelo sacaba \n;1
559;mülekefuyem alimentu;habia  alimento \n;?
560;fütrake aweluyem ;los viejos abuelos que fueron.\n;1
561;ñi fücha malleyem inchiu piaymi tati;mi gran malle nosotros dirás \n;1
562;müte kuyfi ñi abuelayem trempan ;mucho antes con mi abuela creci\n;1
563;tami  ñükeyem ;mi madre\n;1
564;señoritayem tañi kimelael  la  hora;la señorita que debe saber la hora\n;1
565;pu füchakecheyem tañi fotüm;los hijos de los ancianos\n;1
566;inche tañi ñukeyem ;Mi madre que fue\n;1
567;ñi ñukeyem müna kintukukelafuy;mi madre sabía mucho de esto.\n;1
568;payllakünukefenu ñi ñukeyem ;me dejaba boca arriba mi finada madre\n;1
569;ume feyentuniefiñ tani pütakecheyem ;obedezco mucho a mis mayores\n;1
570;füchakecheyem tañi elerpuel longkomu ;lo anciano que  nos dejaron en la cabeza \n;1
571;elangefuy fütakecheyem ta niefuy;es bueno las gentes anciano tenían \n;1
572;tañi füchache yem tttttt;decían nuestros antepasados\n;1
573;fütrakeche yem feyta aflu fey tttttt;los antepasados al terminar ésto\n;1
574;mapuche kuyfi entungeyem tttttt;El mapuche antiguamente al sacar\n;1
575;feypikefuy tañi fücha awelu yem ttttt;decia mi abuelo que fue\n;1
576;fütrakecheyem galgal ;antepasados galgal.\n;1
577;tañi füchakecheyem ;nuestros antepasados.\n;1
578;ka mapuchengefuy ñi ñukeyem ;y mi finada madre también era mapuche\n;1
579;feypikefuy ñukeyem wayuw pi fey;así decía mi madre sangraba por la nariz dijo ella.\n ;1
580;llemay ñi ñkeyem ngütamenew fey ;pues mi finada madre me compuso ahi\n;1
581;ñukeyem kuyfi laku fey feypilan;finada madre antes abuelo ahí dijo.\n ;1
