;Mapudungun;Traduccion
396;tañi ikefel tañi fütakecheyem ;lo que consumian los difuntos ancianos \n
397;inanerpulu tañi elurpual taiñ fütakecheyem ;debemos continuar los que nos dejaron los difuntos ancianos \n
398;tañi elelurpuel tañi fütakecheyem ;los que nos dejaron nuestros antepasados\n
399;taiñ fütrakecheyem ;nuestros difunto ancianos  \n
400;mapuche pingeyem ;cuando les dicen mapuches\n
401;ta akuyem ;cuando llegan\n
402;kiñekemu ta kutranchewyem engün ;a veces se ponen enfermizos a ellos\n
403;fey vey elungeyem trewa;y eso, cuando  le dan al perro \n
404;pichike kura ta chemyem ta pu ;piedritas pequeñas que crece dentro.\n
405;ta uh nelay yem ;ahora si que no tiene\n
406;ta kuyvi ta mülelafuyem ;antes esto no existía\n
407; porque uh  trekaleyem che;porque iba caminando la persona\n
408;taiñ fütakecheyem noise  y ;de nuestro anciano y \n
409;ka feyem ta wedakünungetuy;la otra idea lo dejaron de lado
410;feypüle küpafuy huaiquilao pingefuyem tañi nuke;Por ahi venia mi mama que le llamaban Huaiquilao.\n 
411;feypüle küpafuy tañi ñukeyem ;Por ahi venia mi mama.\n
412;taiñ ñukeyem chem chau ;mi Madre fallecida, no se que Padre.\n
413;machi ngefuy ñukeyem pu;Era machi mi Madre fallecida pues\n
414;pewmata mülefuy yem  ;Existen los sueños pues\n
415;feyti kiñe pichi che kutraniyem ngekelafuy pital ;y cuando se enferma una guagua no habia ospital \n
416;kampüle che kutran ñi yem ñi longko;en otra parte la gente le duele la cabeza \n
417;afi ti pütrake cheyem ;Se terminaron las personas de edad.\n
418;eleneu ñi ñukeyem ;me dejó mi madre\n
419;noise kuyfi ta mülekefuy pütrakecheyem ;antes habían grandes ancianos\n
420;kom spaese yivi ta pütakecheyem ;todo eso comían los ancianos\n
421;pivuy ta pütakecheyem ;decían los ancianos\n
422;chumul pütakecheyem ;en dias pasados los ancianos\n
423;ka nieñmukakevuyem uvisa ;ta también tenía ovejas\n
424;longkoyem arküy veta spade spa agua;las vertientes de agua se secaron\n
425;padmuyem ;cuando te pasma\n
426;kiñekeyem pichike sirvikakelayngünam ;algunas veces serviráb un poco\n
427;akuyem kiñeke kutran;llegan algunas enfermedades \n
428;ka küpatuayem  ;y cuando queremos volver  \n
429;ngillandunguyem  tañi chau;cuando mi padre hizo el discurso del casamiento\n
430;taiñ fütakekuyficheyem  ;nuestros mayores del antepasados \n
431;tañi pu familiayem ;nuestras familias \n
432;noise ngillañche piuyelanta tañi fütakecheyem kuyfi ;pariente políticos no se dicen nuestros mayores antes \n
433;taiñ pu longkoyem kuyfike;nuestros líderes antiguos.\n
434;müna llükakefun fillayem ;sentía mucho miedo cuando estabamos pobres.\n
435;feypikefuy tañi ñukeyem ;así decía mi madre, \n
436;ngülol üyiw ta yenu tañi wentruyem ;Ngülol allá me llevaba mi esposo\n
437;kimlafin welu tañi aguelu tañi ñukeyem ;pero no lo conoce, mi abuelo y mi enfina madre\n
438;müley tati pikefenew feyta tañi ñukeyem ;eso hay me decía mi enfina madre\n
439;pikefenew tañi wentruyem pikefuy tañi ñukeyem ka ;me decía mi esposo, que decía su elfinada madre \n
440;may kimniefuy tañi ñukeyem ;si, conocía mi elfina madre\n
441;pikefuy tañi ñukeyem ;mi elfinada madre decia \n
442;feypikefuy tañi ñukeyem wülkefuy ;eso decía mi elfinada madre que daban\n
443;kom kimniefuy pikefuy tañi ñukeyem ;todo sabía, decia mi elfinada madre\n
444;tañi fütayem ta we kürengelu;cuando mi esposo casamos recien\n
445;tañi fütake cheyem tripay ;mi viejo raices salieron \n
446;ta chi fütra antigu machiyem ;ese era antigua machi\n
447;tami niengepafun pi tañi fütayem müten ;donde te tenía tu esposo\n
448;tañi fütayem am;con mi elfinado esposo \n
449;tañi fütayem ta ;mi elfinado esposo
450;tañi fütayem tati;a mi esposo\n
451;noise fey tati tañi wentruyem tati kutranlu ;cuando se enfermo mi elfinado esposo\n
452;katrü pütrayem che femuechi ;Corta el estomago la gente así es\n
453;ngümayem ñi piti elaweni;lloré por mi pequeño hijo.\n
454;inche tañi ñukeyem tañi rume weda ;mi finada madre estaba muy mal, \n
455;tañi ñukeyem tunte tañi nieteu ;mi madre cuanto me tuvo,\n 
456;ka inche tañi abuelayem ;y mi finada abuela\n
457;iñchiñ ñi abuelayem ;nuestra abuela\n
458;fill dungu mülelayem ;diversas ideas existen pues,\n
459;traukiyem may feychi ta trawüyu ta;cuando se juntan pues, esa vez se juntaron.\n \n
460;ngiyukeyem ;Se olvida.\n
461;müleyayem kimkerkefuyngün ;si hiba a ver sabian\n
462;ta füchakeche yem ;de los ancianos\n
463;feyem niekerkefuyngün ;y eso tenian\n
464;pütakecheyem dio tañi dungu ;.los ancianos la palabra dios\n
465;tañi mapu tañi tañi cheyem ;.mi tierra mi mi gente\n
466;tañi dewmatuel welu pütakecheyem ;.los que hicieron pero los ancianos\n
467;ta pütrake dungu füchakecheyem tañi dungu ;.los grandes temas de los ancianos sus palabras\n
468;ta cheyem antikuo cheyem feymu apotuy ;.la gente ancians gente por eso lleno\n
469;feyngi kuyfi ta kom yamkefuy pütakecheyem ;antes había mucho respeto nuestros viejos, \n
470;feypikevuy tañi kude abuelayem ngen ko ta müli ;mi fallecida abuela decía el agua tiene dueño \n
471;inche ñi kude abuelayem femkevuy ;mi difunta abuela \n
472;kintuyem keyukunukevuy ñi ñuke ;cuando buscaba le ayudaba a mi madre \n
473;ñi mamayem pikevun  spamamá pikevuy ñi spaabuela ;mi difunta mama decía mi abuela \n
474;fey femaymi pienu ñi abuelayem ;eso vas hacer me dijo mi difunta abuela \n
475;welu ñi abuelayem namuntu tremün piki ;pero mi difunta abuela a pata crecí decía, \n
476;spano kuyfi feykipevenu ñi abuelayem  ;no antes me decía mi difunta abuela \n
477;femechi fey lelinewi feyem ;así lo están mirando \n
478;lawentuküfuyem ;queria hacerse remedio \n
479;pitruyem che ;al tener sarna la persona\n
480;witrayem vey airetuy ;al levantarse hay toma aire\n
481;puruyem che ka;al bailar la gente también\n
482;nütramyem yewengekerkelay ta kewün ;una conversación no le da vergüenza la boca\n
483;doy kümelekayafuyem pe ka;más estaria bien pues también. \n
484;spay kiñekemu puyem ;y algunas veces cuando llegaban \n
485;perdey tañi wentruyem ;se murió  el que era mi esposo\n
486;femngi tañi pucheyem ta inche;así de que soy gente yo\n
487;filkayem fel kom;eran todo cuñao\n
488;re wekecheyem ñi latun engün;puro jovenes muriron pues\n
489;inche ñi wentruyem ka femipu;yo, mi esposo también le paso eo\n
490;tañi pucheyem ta femi;mi gente hizo esto\n
491;tañi awelitayem feyta inche re rukamu nien ;mí finada abuela esta, yo solo en la casa tuve \n
492;kutraniyem che vey yemengeki;Se enfermaban las personas ellas la iban a buscar.\n 
493;yem servecura ñi machi ngeki ñi ;en Selva oscura era machi su\n
494;pafmuyem ñi ange pafmuyem ñi;para el pasmo de la cara pasmo en la.\n 
495;welngiyem che kuyfi chumngechi ngütan ;Cuando se safaban las persona como componían\n
496;cuando alla chemüyem ;cuando allá cualquier cosa\n
497;ta weñeleyem ka;y por que roban pues.
498;uhlüfiyem che chem lawen tuki ;Cuando se quema ala persona que remedio se coloca\n
499;kürüfmungi katrü konüyem ;Por el viento cuando entra ahí\n
500; no inaramtungekefuy yem ;No siempre preguntaban\n
501;nialu familia nieki welu fey pipiyem feypipüleafel;Lo que van atener famlia le sale pues así se dice.\n
502;rapiyem che wechakunuy iyagel ;Vomita la gente cuando le hace mal la comida
503;kuyfi ta pütrakeche uh entumeayem lawen;Antes los ancianos para sacar remedio\n
504;kellunien ñi ñukeyem  ;ayuda a mi finada madre\n
505;ñi chafoyem ;cuando me daba tos\n
506;tañi mongelal ta choyem pikefuy ta noise piki;para mejorar  a mis hijos le dice, dicen \n
507;ñi fücha hermanayem trafeoymi ;.mi vieja hermana difunta te quebraste\n
508;tañi hermanayem clorinda yem ;.Mi finada hermana Clorinda\n
509;vey tañi ñukeyem ;.esa mi finada madre.\n
510;kutrankauken lawentuayem ka fey ;sufren para buscar los remedios.\n
511;fey may ta niekepefuy taiñ füchakecheyem ;si tenían toda la junta grande\n
512;mi ñukeyem ka mi kude kuku ;tu finada madre y tu abuela\n
513;uhm rupayem che famechi ;cuando le ocurre eso a la gente de esa manera\n
514;kay ñi ñekeyem pekey fey ñi ;pues de que hay ve de que\n
515;feymuyem ngoymaki ti ngülamtun ;Es por eso que se olvida el consejo\n
516;doy müleyem iyiw ñi mapumu ;más cuando estaba allá en mi tierra\n
517;tañi piki tañi ñukeyem chau fey ;decía mi finada madre y mi padre, \n
518;tungeel lawentuyem che ;que bebe remedio la gente\n
519; no  que petu welefuyem ;no, que todavía era joven \n
520;ñi awelayem tuwi ruka traru y ka tuwi ñi aweluyem;mi abuela era de ruka traru y también mi abuelo\n
521; maquina trillayem ;las máquinas cuando trillan\n
522;veyem inche;no lo hice yo\n
523;ñi abuelayem ;mi abuela\n
524;lawencheveyem ;Remedio a la gente\n
525;tami y tami ptacheyem kutranchengefuy tüfi ;Tuyo y tuyo gente grande era enfermizo mucho\n
526;vey ngen pewma ngeyem ;el es dueño del sueño\n
527;dewmangeyem petu veyta uh ;Sé esta haciendo ahora esta\n
528;kim tripan yemengeayem voye ;aprendí como se iba a buscar canelo\n
529;ngillatukevuy tañi ñukeyem ;hacia una rogativa mi madre  \n
530;ñukeyem vey mari epu tuam pikevuy ;mi finada madre doce hacía decía\n
531;pikefeneu ñi ñukeyem ;me decia mi finada madre. \n
532;taiñ ñukeyem ;mi finada madre. \n
533;pikefeneu ñukeyem ;me decía mi finada madre. \n
534;welu ñukeyem kimnefuy lawen;pero mi finada madre conocía remedio \n
535;feyti itrokom ñi ñukeyem kimnefuy ;todo esto conocía mi madre. \n
536;inche kutranki ñi lonko areyem antü ;yo tengo dolor de cabeza los días de calor\n
537;trekayem uh komo incha kevuy ñi namun ;cuando caminaba como que se hinchaba mis pies.
538;areyem kam ;por la calor o\n
539;firküyem chi;por el frío\n
540;uh rume tripayem antü ;cuando sale en pleno sol \n
541;vey ka  este mawiyem pukem ;también eso entra si andan en el invierno\n
542;amuyem che;cuando va la gente\n
543; pero che kimnoyem ;pero la gente no conoce \n
544;pirutuleyem foro kutranki;cuando entran caries en los dientes cuando se enferma\n
545;ngolliyem che;a la gente que es borracha.\n
546;inche  bien kürüftuyem ;yo agarre un viento \n
547;kiñe weda müleyem ;cuando esta mal  \n
548;pu ruka che kiñeweda tripayem wekun ;la gente de la casa en alguna salida afuera \n
549;lawen tungeyem ;se coloca remedio \n
550;tukulelngeyem chi lawen che;hay gente que hace remedio que sabe colocar \n
551;uh kiñe weda areyem che ;una mala calor pesca la gente\n
552;uh kiñe che areleyem ;una mala calor pesca a la gente\n
553;pafmuyem che ;cuando le da pasmo a la gente.\n
554;fayiyem iyagel ;Cuando la comida esta ácida.\n
555;vayiyem iyagel ;de la comida ácida \n
556;uh vey pütokoneyem chi lawen ;Hay que beber el remedio \n
557;inche femngechi kutrantuyem ;yo cuando me enfermo\n
558;fey pütokolngeyem  feychi lawen;y es cuando hay que beber ese remedio\n
559;ngüf willeyem ;cuando se tranca la orina \n
560;küpa williyem ;cuando viene la orina \n
561;famngechi lawen tungeyem ;si se colocan este remedio \n
562;veyta pun miawyem ;si andan en la noche\n
563;vey re lef tripayem ñi ange ;si así rápido sale con su cara \n
564;vey ngümaki chi pichiche hojaleyem ;cuando están ojados lloran los niños \n
565;vey vemngechi kutranyem ;así es como se enferman \n
566;kiñepchi uh alüyem kiñe nge ;un ojo se le agranda  \n
567;vey chi pichi che kutranküleyem ;así el niño cuando esta enfermo \n
568;hm trafentuyem che fey may ;El que tiene encuentro con malos espíritus y ese \n
569;pikevuy tañi ñukeyem uh;desia mi madre \n
570;tañi ñukeyem fey vewla kay;mi madre pero ahora \n
571;mawelayem ka vemngechi;De esta forma \n
572;vemngechi mawayem  ;de esta forma.\n
573;pürayem trokür mawidamu mawki ;Sube la niebla en el monte\n
574;pürayem veyengu veyengu may;Ocho ellos ellos \n
575;pikefuy tañi mamayem noise ;decias mi madre.\n
576;chi nga ñukeyem tapül;la madre hoja\n
577;pienu ni mamayem ;me dijo mi difunta madre,\n
578;piki tañi ñukeyem ;decía mi difunta madre 
579;hojayem ;cuando lo hojaban\n
580;ta künkeyem ;....................\n
581;fayem yagel;cuando fermenta la comida.\n
582;vayem yagel ;Cuando fermenta la comida \n
583;ñi ñukeyem müten inchiu ;mi finada madre nomás los dos,\n
584;fey ñi ñukeyem ;mi finada madre\n
585;feychi lawen niekefuy tañi mamayem ka ;Ese remedio que tenia mi madere.\n 
586;tüva tañi ñukeyem ;esta de mi finada madre \n
587;mawayem ;\n
588;ojayem chem kutran ;De la ojera, qué enfermedad \n
589;kutran müleyem ;al haber enfermedad,\n
590;tüfa müleyem ;ahora al haber \n
591;tukuenu tañi ñukeyem ;me llevó mi finada madre,\n
592;ñi ñukeyem ;mi fanada madre,\n
593;uh kiduyem dewmay chi ta ka ;a lo mejor solo se preparo también \n
594;müleyem trawün ñi chew ñipuwi ;cuando hay reunión donde llegan \n
595;uh putuyem yagelmu ta putukiñ ;bebo, de otro bebo \n
596;feypikevuy ta kuyfiche pütrakecheyem ;así decían las personas de antes.\n
597;spaasí feyta femuechi mongevuyem che ;así de esta manera se mejoraba la gente\n
598;vemiyüm ta pütakecheyem ;cuando le ocurría eso  a los antepasados\n
599;kutrantukevuyem ka ;Debía dolerle pues\n\n
600;tañi chawyem sondatulelu ;cuando mi finado padre estaba con sonda\n
601;kisa petu mongelavuy tañi chawyem ;quizás aún estaría vivo mi finado padre\n
602;petu mongelavuyem ;aún estaría vivo\n
603;rakiduam konvule ta pikevuy tañi chawyem ;si entrara el pensamiento decía mi finado padre\n
604;kochemu ta welngiyem ;cunado se safan en los coches \n
605;uh trafoyem che ;Cuando las personas se fracturan\n
606;welngiyem ;cuando se safan\n
607;akuayem femngechi kutran ;cuando va llegar de esa enfermedad.\n
608;femngechi peuken tañi akuayem tati pu che;asi es como veo cuando van a llegar las personas\n
609;welu kuyfi nentumengeyem lawen;pero antes cuando se les hiba a sacar el remedio\n
610;kuyfi feypikeneu tañi pu pu aweluyem ;antes me dijeron eso los que eran mis abuelos.\n
611;fey dapienu tañi kude ñukeyem ;entonces me cuidó mi anciana finada madre.\n
612;iñcheam ñi ñukeyem perimontungefulu ;como la madre mía tenía visión sobre natural\n
613;tañi kude ñukeyem ;mi finada anciana madre\n
614;fey tañi kude ñukeyem feyti;entonces mi finada anciana madre aquella\n
615;küñifalün elenew tañi wentruyem ;me dejó sola el que era mi esposo\n
616;pipatuenew ñi wentruyem fey ;Me vino a decir mi esposo eso.\n
617;ñi fücha malleyem inchiu piaymi tati;mi gran malle nosotros dirás \n
618;taiñ ñukeyem femngechi lay;la que era nuestra madre murio asi\n
619;amuayem che namuntu   ;cuando va a Argentina?\n
620;tati pichikecheyem punonam;Y los niños no deben pisar.\n
621;tüfey mudayngekey tañi awelayem kuyfi ;eso se hace muday, antes mi abuela\n
622;pikey ta fütakecheyem noise rume kümey piy ;dicen los antigüos, es muy bueno dice.\n
623;rapiyem  digestion pikey ta wingka ;cuando bomitan, digestión dice el huinca.\n
624;lüpümngeyem  despues fey lapantukulelngetukey ka ;Y cuando se quema después se coloca como parche pues.\n
625;feyti kay ta poypoyem che;Cuando la gente se hincha\n
626;allfüyem che;Cuando la persona se hace una herida\n
627;ta pitalmu puwyem che;cuando la persona llega al hospital \n
628;ta kutrin furi piyem ngati ;cuando habla del dolor de su espalda\n
629;pütokoyem ;se toma\n
630;lawentuwyem ;y se había remediado\n
631;vey ta küme duam mafiyem ka;entonces se hubiera sentido bien.\n
632;puwyem ta che;cuando llega la persona\n
633;veymuke ngütramkayem che;con eso si que conversa la persona\n
634;trekaleyem pingi;cuando camina dicen\n
635;füfa ka papay ta mülepayem ;ahora también cuando estan  las  mamita.\n
636;welu uh rume füchayem engün;pero cuando ellos son muy mayores\n
637; sí  claro felevuyem ;Sí claro así estaba\n
638;femlavuyem  no  tienen ;esta así no tiene\n
639;pingevuyem ka feymu ta amukevuy ;se llamaba también ahí se iba \n
640; pu feyevuyem ka felevuyem ka ;que estaba así pues, así estaba\n
641;felefuyem ka;así estaba pues.\n 
642;ka femkefuyem ka  lo  ;también lo hacían los\n
643;kidu müten fey akuayem kutran ;Solo no mas y cuando va llegar la enfermedad\n
644;tañi pu chawem ñi ñukeyem ;Mis padres, mi madre\n
645;pifin tañi chawem tañi ñukeyem ;le dije a mi padre a mi madre.\n
646;inche tañi ñukeyem ;Mi madre que fue\n
647;ñi ñukeyem müna kintukukelafuy;mi madre sabía mucho de esto.\n
648;payllakünukefenu ñi ñukeyem ;me dejaba boca arriba mi finada madre\n
649;püchake cheyem ;los grandes difuntos \n
650;femuelu tami awelayem ;así también tu difunta abuela \n
651;tam awelayem ;tu difunta abuela.\n
652;taiñ fücha ñi awelayem ;los viejos mi difunta abuela \n
653;ñi kuye ñi ñeñeyem ;mi madre mi difunta \n
654;tam awelayem ka ;y tu difunta abuela \n
655;femkelay tami awelayem kay ;no lo hacía tu difunta abuela \n
656;putukefuy tami awelayem ;lo bebia tu difunta abuela \n
657;uvicha niefuy ñi vüchakecheyem ;Oveja tenían mis viejitos\n
658;trafentu trafentuyem pichikeche trafentuki tati ;Cuando sé ojan los niños, ellos también les da.\n
659;mluafiyem papel che pu ;Se demoran en dar el papel a las personas pues.\n
660;mürkefen ñukeyem ;.................mi finada madre \n
661;fey ta kuifita pütakecheyem pinga ;esos antiguamente los ancianos dicen  \n
662;fey fey ñi malleyem ;entonces, entonces mi finado tío \n
663;inchiñam cheu püle rume kompuyem ;Nosotros en cualquier parte que vayamos\n
664;iñchiñ taiñ weningen trawuyem ;nosotros los amigos nos reunimos\n
665;peyem tain peñi ;cuando ven a nuestros hermanos\n
666;peyem taiñ pu lamngen ;ven a nuestras hermanas,\n
667;lleweyem ta iningenengün puedelafuy tañi femal ;a nadie debiera darle verguenza\n
668;allfuyem che golpiayüm ;cuando tiene herida la gente o se golpean \n
669;feyta kupakevuyem spa;entonces venia ante pues \n
670;licenciakalu tañi abueluyem ;......................mi finada abuela \n
671;lo spaantiguokümelekevuyem kuyfi  ;Los antiguos estaban bien ante \n
672;lo spaantiguo mülevuyem lawen ;lo antiguo había remedio \n
673;puebluyem mülekelay;pueblo ante no había.\n
674;ngañkoyem ;cuando se decae \n
675;feyta puwiyem pitalmu ta piche rupatuki;ahí llegó en el hospital, pasa un rato. \n
676;medikangefuy awelayem ;Era medica mi difunta abuela\n
677;püñu tripanoyem wekun ;por el puñu no deben salir afuera,\n
678;kiñeke newentuyem ;algunos que tienen mucha fuerza \n
679;femuechi chumuechi tañi amun noise pu püñeñ wünemu ñai ñukeyem ;¿es así no?, se como se fueron mis hijos primero murió mi madre                                                                                     \n
680;ñukengefun tati ñami tañi ñukeyem ;yo tenía madre y la perdí\n
681;feyta feypingi malmekeñmangi tami ñukeyem elungi ta lawen;me dijeron que a mi madre le hicieron un mal, le dieron remedio\n
682;iñchemu doy inankülefuy reke ñukeyem ñami tañi ñuke nielan ñuke kuñifal ta iñche ;perdí a mi madre me quedé sola tenía menos edad  que yo\n
683;tranantukulewi  ngütantumu lay tañi ñukeyem ñami ;se quedó postrada en cama, así murió y perdí a mi madre.\n
684;kuyfi kuyfi feypi iñ ñukeyem petu kutranlay ;Antes que se enfermará me decía esto mi madre\n
685;feymu ngünenkalmangen ñukeyem pi ;hací  la engañaron a mi madre decía\n
686;puwün fey ngelay ñukeyem kintupufiñ ngelay noise ;llegue allá busque a mi madre y no la encontre\n
687;iñche fey kintupun pikefuy tañi ñukeyem ;Mi madre decía que fue a buscarlo \n
688;puün iñche nülapufiñ fülüntukunii foro tañi ñukeyem ;llegue yo abrí el  cajon y tiré los huesos de mi madre \n
689;tami ñukeyem anütripay tami ñukeyem wekun;su madre está afuera sentada.\n
690;femuechi ta lüfi ñi ruka tañi ñukeyem cheu ta ;así se incendió la casa de mi madre\n
691;müñalngi müten lefi tripay triltrangkiawi ñukeyem ;a pesar que lo ammarraron igual salía corriendo desnuda mi madre\n
692;femuechi ta güdenu  ñukeyem ñami ;de esa forma me rechazo mi madre y se perdió\n
693;malmekeñmanu iñ ñukeyem lay tañi lamuenem wüne pi;primero murió mi hermano y esta haciendo daño a mi  madre dijo. \n
694;femuechi ngünekalmangen ñukeyem ;Eso es lo que le hicieron a mi madre \n
695;müli ta dañukelu müli ta kalku pikefuy tañi ñukeyem femuechi ;hay personas que hacen el mal decía mi madre\n
696;adümngelan  illkuy iñ chawem illkuy tañi ñukeyem ;se enojó mi papa y mi mama porque no me supieron entender lo que tenía\n
697;epeke epeke küymikefun illkutuenu iñ ñukeyem ;mi madre se enojaba cuando casi entraba en trance.
698;chaditulkefenu iñ ñukeyem uh chadi trapi ;mi madre me daba sal con ají.\n
699;fey müleyem komu ;entonces cuando hay en el agua\n
700;fey lüfiyem chi azukura ;y cuando se quema el Azucar\n
701;rupayem antü ;cuando pasa el dia\n
702;nawyem asi ;cuando cae así\n
703;fey rupayem chi antü ;asi cuando pasa el día\n
704;uh akuyem pun inche ;cuando llega la noche, yo\n
705;uh küchuyem llemay;Cuando se moja claro\n
706;lef kürüftuyem ;por tomar aire derrepente\n
707;ka müte utreyem llemay;tambien cuando pasa mucho frio, claro\n
708;cheta kuydawnowyem ta che;la persona cuando no se cuida, la persona\n
709;kuñiutunoyem ;cuado no tiene cuidado\n
710;fey penoyem ;cuando no encuentra\n
711;kutranpingi penoyem lawen fey;esta enferma le dicen, cuando no encuentra remedio.\n
712;kuydawnoyem ta;cuando no se cuida\n
713;kutranküleyem ñi domo;cuando este enferma su mujer\n
714;wütreyem ka;cuando les da frio pues\n
715;uh kimkefuy he niekoñileyem ;sabía también cuando estaban esperando un hijo\n
716;fey akuayem chi pichi che;cuando va llegar ese niño\n
717;ka fey akuyem chi pichi che;tamabién cuando llegaban esos niños\n
718;uh kiñe che müleyem pu ruka;una persona esta dentro de la casa\n
719;welu ka müleyem chi che pu ruka ;pero cuando tambien la persona esta dentro de la casa\n
720;areyem fey ka kutranki ta pilun ;se le calienta y tambien duele su oido\n
721;fey ngülaki rume kutranyem ;y habre siquiera  cuando duele mucho \n
722;fey umawleyem chi che;cuando la persona esta durmiendo\n
723;tüfey lüfiyem che;ese cuando la persona se quema.\n 
724;lüfiyem che ;Cuando la persona se quema\n
725;kimnen lüfiyem che;conosco cuando la persona se quema\n
726;arekomu chem rume lüfiyem che;con agua caliente, cuando la persona se quem cualquier cosa\n
727;wün rume areyem ta che;hasta la boca cuando la persona rie\n
728;rukamew akulngetuyem ;en la casa lo hacían llegar\n
729;fey chi akulngeyem chi lawen;y cuando traían ese remedio\n
730;ka itromyem ta che ;\n
731;ka yangiantü müleyem che ;y cuando la persona esta en pleno sol\n\n
732;ptra kürüftuyem ka;cuando toma harto viento también\n
733;femngechi nieyem püñeñ engün ;Debido a eso tengo hijos sanos\n
734; si müley  mucho katri neyüpeyem ;Si hay mucho donde se cortan\n
735;wüñokintuyem wiwiu wechakunukey ;Cuando mira para atrás esta mal\n
736; ahora kay oraken purayem mawidamu;ahora siempre hago la oración en el monte\n
737;kulliyem ka fey pichike kullikakeneu engün;cunado pagan tambien me pagn por suerte por los niños\n
738;feyem iñche tañi awelayem uh;eso era así, ante mi abuela\n
739;lay chi machiyem por    eso   ;murió la finada machi por eso\n
740;femuchi kuyfi kay fayem tamün yagel;Así antes se fermentaba la comida\n
741;kiñe weda am fayem ti iyal ;Una mala comida vinagre .\n
742;kay trafoyem che ;y por torcedura de la gente \n
743;fütakecheyem feypiki;Las personas antiguas decian \n
744;pikefuy ta fütakecheyem ka;decían lo finado anciano pues. \n
745;taiñ fütakecheyem ta ;Nuestro anciono eran pues  \n\nM feypikefuy ka 
746;taiñ fütakecheyem fey;nuestro finado anciano  eso. \n
747;feymu ta taiñ fütakecheyem ;por eso nuestra persona anciana \n
748; no  como akuy müleyem  plata ngelay ;no como cuando llega, cuando hay plata no hay\n
749;namuntullauyem kutrankey chang  ;cuando ando a pie me duelen las piernas\n
750;noise akukelafuyem pulku putulafuyem;No habia llegado el vino, no habia tomado, \n
751;noise  putulafuyem akunolu chi pulku kay ikelay pulku ;no había tomado, como no había llegado el vino pues, no tomaba vino\n
752;fali ta pelon pikefenu ñi ñukeyem ;vale el diagnostico nos decía mi finada madre. \n
753;pafmuyem ta;al entrarle pasmo\n
754;sangrina yem ngelay;Sanguinaria pues no hay.\n 
755;itromyem ta ngemu ;de todo en la vista\n
756;veypikevun ñi pücha aweluyem ;decia el que fue mi abuelo\n
757;aweluyem kim küdawlay;mi finado abuelo no saben trabajar\n
758;pikefin pefiyem ;le digo al verlos\n
759;familia kom kümeleyem ;la familia esta bien,  \n
760;fey niel müleyem kutran;cuando hay enfermedad\n
761;uhchafod kutran lonkoyem che;El resfriado con dolor de cabeza la gente\n
762;müte müleyem uh;cuando hay mucho.\n 
763;müte müleyem antümeu;Cuando esta mucho en el sol\n
764;chemu tripa wümauyem ;hasta cuando amanece,\n
765;fey wekun müleyem che;cuando las personas están afuera,\n
766;tuyem kuysauki che;si no lo cuidan  las personas.\n
767;müleyem chi kütralwemeu ;que está en el fogón,\n
768;lüfiyem che;Cuando se quema la persona.  \n
769;chumngechi allfen tüfi trafoyem ;cuando  se hiere de quebradura,  \n
770;katrüfünyem che fey kümeki;Cortadura de carne es bueno\n
771;wekeche asümelngeyem fey kimki;los jovenes si se les enseña entonces aprenden.\n 
772;mapuche mongen entumeayem lawen ;los mapuche cuando van a sacar remedio\n
773;cheuuhimpolkangeyem mawida ;donde destrozan la montaña,\n
774;ka fey ngenoyem lawen fey;Cuando no hay remedio.\n 
775;feyta chumngechi lukutuyem noise ;entonces  como  de rodilla este \n
776;feyta iñche tañi ñukeyem ;Pues mi madre fallecida\n
777;rume püukefuyem tañi ñukeyem ;mi madre fallecida era muy capacitada\n
778;iñche fey elueneu tañi ñukeyem elueneu ta lawen ;mi madre me dio eso, me dio remedios \n
779;feychi tañi ñukeyem lawentueneuem ka ;esa vez mi madre me dio remedios \n
780;ka lay tañi fütayem ;y tambien fallecio su esposo \n
781;lay tañi fütayem fey;Fallecio su marido, ese.\n
782;kiñekemu penoyem ;a veces cuando no encuentro \n
783;feyti kay lamngen kiñekemu trafentuyem che ;y tambien hermana cuando contrae enfermedades maleficas\n
784;rüleyem ta che ta chengekey tati ;Cuando se resfria la persona pues \n
785;feyti eymün lawen tuayem ;Ustedes para remediarse \n
786;asi que kafetuayem rume pütrokongeam ;si se quiere tomar café  se toma eso\n
787;itromiyem chemu ;Cuando le cae basura en el ojo\n
788;re felen konfempukelayaymün pikefiyu tañi ñukeyem ;mi madre decia que no teniamos que entrar así no mas\n
789;tremiyem y choyile ;Creció pues y creció pues\n
790;uh lüfiyem che ;Cuando se quema la gente\n
791;feyti fey ünatungeyem trewa ;Cuando muerde un perro\n
792;longkoem pi piwkeyem pipingi nga;sufre del dolor de cabeza y del corazon\n
793;yem rume kümelkaleafuy che ;en cualquier cosa podría estar bien la gente\n
794;tüfa feula alfüyem chem allfeñ rume amukimün pitalmu ;a estado herido, ahora con cualquier herida van al hospital?\n 
795;püuyem pitalmu küme atiendengekimün ;llegan en el hospital y lo atienden bien\n
796;feulakay inautyem che ;Ahora cuando muere la gente\n
797; antiguo ta femkunuel kuyfi ngekelay pu antiwüyem  cementerio;los antiguos dijeron que no tenían cementerio
798; antiguo niekeleyem kiñe kidu ;como antiguo no lo tenían\n
799;niafuyem femürkolerpuante feymu ;así iremos a seguir\n
800;yem  aparte nekele engün felerpuafuy ;aparte tenían para seguir así \n
801;we akun kuyfi ta inche santiaginayem chipan ;llege hace poco tiempo , era santiaguina , salí\n
