;Unnamed: 0;Mapudungun;Traduccion
645;645;kimpay tañi chawem doy pataka tripantumu ;mi difunto padre conoció por más de cien años\n
646;646;kidu ta kimpay tañi chawem ;él conoció mi difunto padre,\n
647;647;fey tañi chawem yom feypikeyu;y su padre se lo decía\n
648;648;tañi chawem ;mi finado padre \n
651;651;pingey tañi chawem tatüfameu;decía mi difunto padre aquí\n
658;658;kimlumu niefuyem lawen tati pewen ;para los que saben debe tener remedios la araucaria\n
659;659;yegeneu tañi pücha chawem ;me llevó mi finado padre \n
662;662;püchakecheyem ngillatuayem ;las personas de edad. \n\n
663;663;feyti dewmangi pütrem  así ;Ese se hace como cigarro así\n
664;664;veyem inche;no lo hice yo\n
666;666;lawencheveyem ;Remedio a la gente\n
667;667;awem ;Sufrir\n
668;668;güdefin tem tem ial rume duamwelan ;odié las comidas ninguna comida mucho lo deseo\n
669;669;veychimutripay ñi finaoem ;esa vez salió mi finado\n
670;670;tami y tami ptacheyem kutranchengefuy tüfi ;Tuyo y tuyo gente grande era enfermizo mucho\n
671;671;uh entumeayem lawen ;cuando sacaba remedios\n
672;672;hoyy ta ta pütrem küli pafmu;ahora esta creciendo cada vez mas el .......\n
673;673;ta pichike inachi trem tüva;los que van creciendo ahora\n
679;679;chumliymi am vamngen pukem ;cuando el invierno estaba asi\n
682;682;re chenuam iñchiñ   peñi fem femüy ;solo persona somos nosotros hermano así es\n
683;683;awem  gracia may may ;Así es, gracias pues, gracias.\n
684;684;ta tun inche tañi chawem ;entonces yo mi padre\n
685;685;pukem adümuwinga ti vey ayekawi pingelama;en invierno aprende tambien para deleitarse\n
687;687;ñi püñmoem müna wapongi;mi finado suegro era muy mañoso\n
688;688;ñi chafoyem ;cuando me daba tos\n
689;689;mürke pidku we gürem awar tuwi;mote de harina, con haba nueva \n
690;690;ta kuyfikeche gürem awar ;los antiguos haba remojada \n
691;691;tañi mongelal ta choyem pikefuy ta noise piki;para mejorar  a mis hijos le dice, dicen \n
692;692;türpu inche tañi lamuenem ;nada antes mis hermanas \n
693;693;lay tañi lamuenem feymu ta inche;murió mi finada hermana, por eso yo.\n
694;694;larki ñukeem ;se le murió su mamá \n
695;695;ñi lamuenem larki;murió mi hermana \n
696;696;kimpakevuy tañi fücha chawem ;Había alcazado a  conocer  mi viejo padre\n
697;697;ka noise vey servikevuyiñ ñi chawem ;y en eso les servíamos también a nuestro padre\n
698;698;femngechi kimpay ñi chawem ;así vino a saber  mi padre\n
699;699;rumemum fey anta kidu ta vem rumelay tati;por mucho que sea, ella no creo que se haya hecho eso.\n
700;700;kidu ta vem rumelay tati;Ella sola no pudo hacerlo pues\n
701;701;noise ka che yagem tati kümi piki;Otra gente yagen ese es buen dice.\n 
702;702;kulliyem ka fey pichike kullikakeneu engün;cunado pagan tambien me pagn por suerte por los niños\n
704;704;tañi pu gosalen kom komfuyngünem feyta kullingün;lo que estaban gozando.................y pagaron.\n
705;705;may kütraltual pukem ;Sí para hacer fuego durante el invierno.\n
706;706;pichinmu mongetukefuy amukefuyem pitalmu ;Cuando niña vivía y iba al hospital \n
707;707;awem feytichi foye lamngen ;Se esta acabando el canelo hermana\n
708;708;chumül ñi kutranki lloyinayiyem ;Cuando se enfermo andaba como cansada \n
709;709;rume arreyem ka kosina mu ;Hace mucha calor en la cocina \n
710;710;uh ey rume areyem che kosina mu ;Muy caldeada la gente en la cocina \n
711;711;tripafentuy wekun kürüftuyem ;y salen a fuera con el viento \n
712;712;rem re ye tukukenew inche;no me dieron eso a mi.\n
713;713;awem tüfey mamüll lawen reke ;Así es este como remedio de palo\n
714;714;awem tüfey rume küme lawen erke ;Así este es un muy buen remedio \n
715;715;awem fey fey fey tüfi nawkülepalu chi komu ;Así es, sí, sí este se trae de abajo del agua\n
716;716;awem feyti fey mamüll lawen ;Así es este es palo remedio.\n
717;717;fey uh triw nawyem chi lawen ;así se baja ese remedio \n
718;718;fey mongeki pütokolngeyem pulgante ;si vive tiene que llevar bebiendo el pulgante \n
719;719;awem lamngen ;Así es hermana \n\n
720;720;kutraniem che fey pingeki;la gente que tiene enfermedad así dicen.\n
721;721;yemengeayem chi lawen;y luego se trae el remedio.\n
722;722;kimki lawen che asümelngeyem ;cuando la gente sabe de remedio así enseña\n 
723;723;kutranküleyem pu koñi ;ya estoy enferma pues hija \n
724;724;f ill longko pütrükefuy ni longko em ;todo el pelo era largo mi pelo si\n
725;725;fey inche ñi ñukenu em nangün ;así donde mi madre baje\n
726;726;katrü pütrayem che femuechi ;Corta el estomago la gente así es\n
727;727;felen chi longko kutran kay ti feymu fem noise ;Esta así la cabeza enferma así es por eso que\n
728;728;ñi lamngen em  tichi tiw kiñe mata ;mi hermanan había una de esas mata\n
729;729;ni lamuen em domingo ;mi finado hermano Domingo.\n
730;730;tañi ta juan de dio em ;mí tía Juana de Dios pues\n
731;731;ñi lamuen em amutuaymi mejor iyiw ;mi finado hermano te vas a ir mejor allá\n
732;732;yepayayu fentewe pirki ni lamuen em ;Te vendré a buscar dijo mi hermana pues\n
733;733;tachi wentruem fey tañi chaw em ;este hombre es mi  padre difunto \n
734;734;pulku em ufisha ilo danchu  ;Vino pues carne de oveja, chancho\n
735;735;trafiem feyengu mekey ni purun ;.en la noche ellos seguian haciendo purun\n
736;736;autin em ;.finado Agustin. \n
737;737;ñi fem fem femaymi pingen;de esta y esta forma debes hacerlo me dijo\n
738;738;fey ilafin fem günüfen chi ial pu spaoye;no comía, solo miraba la comida pues oye\n
739;739;tañi mongem inche duamün duampenga ;en mi vida yo necesito yo necesitaba\n
740;740;trem che;gente adulta,\n\n
742;742;sí fem triparumey tati;sí...así no más aparece derrepente pues.\n
743;743;kutrankefuluem  pu ;como estaba enfermo. \n
744;744;mongey tami  chawem ;vivio su padre. \n
745;745;pütake trem fanteki tati kewün;crece mucho dicen \n
746;746;awem kay fey tüfichi make uh;..................,ese maque\n
748;748;awem cough kay;\n
749;749;tem kutranmu rume;En cualquier enfermedad,\n
750;750;lawenem femngechi tulay;tomaran cualquier remedio\n
751;751;tem ngillatuwetulay llenuanta che;ya no oran las personas ahora\n
752;752;altamisa pingi tañi lawem inche;Altamisa se llama mi remedio, Yo. \n\n 
753;753;prendeor ngillakünulelfenew tañi chaw em ;prendedor me dejo comprado mi pápa\n
754;754;tukutukuleafiel em tati;usaba en aquel tiempo\n
755;755;tañi chaw em ;mi elfinado padre\n
756;756;rume kümekünufenew em ;Te dejo muy bién \n
758;758;fey ka katrtuniem iael fey ;por eso no estoy comiendo \n
759;759;doy eluwelu doy em konkealu llemay;aun mas me afecto \n
760;760;doy em konkülealu ;con mayor profundidad\n
761;761;tañi kutran fem tripay ;salio asi su enfermedad \n
762;762;penuayem lawen fey uhm;cuando no vehía remedio\n
765;765;niem che ini chi tañi uhm ;cuando tiene las personas nose de quién \n
766;766;ula fey ula fem tripakefuy tañi ñuke ;después recien salia mi madre\n
767;767;püta chau chafoyem püchake che femki ;gran padre el resfriado las personas de edad le toca \n
768;768;tañi ñuke tañi chawem ;el difunto padre de mi madre \n
769;769;tañi fücha abuelituem puliwentu feyta;mi anciana abuelita dentro del amanecer por eso\n
770;770;feymu ta falintungelay lawenem ;por eso no se valora el remedio\n
771;771;ñi fütra abueluem ;mi finado abuelo\n
772;772;perselu tañi lamngenem ;cuando lo perdio mi pobre hermana \n
776;776;ngütramkalpanew tañi chawem ;me vino a conversar mi finado padre \n
777;777;ruem kupay asucura;se pasa mucho azúcar \n
778;778;newen trem niekeperkefuy che kuyfi;crecía con fuerza  la gente ante.\n
779;779; este atruken cheu rume miawün miawüyem ;me  canso adonde  quiera  que  ando  donde  ando\n
780;780;femtre miauyem malle ;cuando  camino  harto  sobrino  \n
781;781;fey wüyüki ñi witruntuem ;me da mareo con el humo\n
782;782;femngechi wüyüki ni tukuyem ne wüyüken ;asi me da mareo cuando me los pongo  me mareo\n
783;783;femngechi tukeyem deuma doy wüyüki ñi lonko ;cuando los agarro ya mas se me marea la cabeza\n
784;784;ñi chawem konkefuy ngillatun meu ;mi padre entrava a la ceremonia \n
789;789;cheu ta tripapay tañi chawem ;donde salio mi padre\n
790;790;ta tripapay tañi chawem ta kuyfi ;salio mi padre antes  alla\n
792;792;kuyfi mapuche küpa maweliyem mawelkefuy pingi;antes los mapuche cuando quierian hacer llover llovia dicen\n
793;793;femekekefuy ñi fucheke küpayanem kuyfi;eso hacian mis mayores que eran antes\n
804;804;tüfichi ütriu kümefuy kutran kutranyem pütra ;ese quintral de boldo es bueno para el dolor de guata\n
805;805;femuechi anta mongelüukefuy ta pütakecheyem ;entonces asi se mejoraban los adultos mayores\n
807;807;feula ta newem felewelay rume ta femechi kutran ;Ahora no hay  no esta tan asi esa enfermedad\n
812;812; re fem  no puedelay katrüngeal feychi lawen;no se puede cotar así no más ese remedio.\n
813;813;tamien müli ñi kompangealkülen feyem ;También se debe acompañar con cualquier cosa.\n
814;814;pukem ngealu arto piñoñe;para el invierno tener hartos piñones\n
815;815;mongewe vendeyem ngülliw;para vivir vendo piñones\n
816;816;pirem tüfa tañi ruka;los granizos aquí en mi casa\n
817;817;intukuyem kullin;Si comen los animales.\n 
818;818;müna weda pukem kelu;es un invierno muy malo \n
821;821;kiñekemu kutraniem foro;Aveces me duelen los dientes\n
822;822;asukura ruem asemalkiyu;el azúcar hace muy mal\n
824;824;pinguremtupuy pütrem papa;echaba humo mi Papá\n
825;825;ñi chawem vemkiaymün;mi Padre eso deben decir\n
826;826;kudeyem kuifi kudekelafuimi tramkelaymi rume;cuando corría ante hechaba carrera no se ha caído \n
827;827;inchiñ feypikefuy ñi mamaem ;Nuestra madre lo decía\n
828;828;chumngechi tañi doy kanayal piyem ka;de que forma pueden ganar más dicen pues.\n
830;830;ta fem rumelay ;así no más no pasaban, \n
831;831;akuketuy pukem ta ;Vuelven a llegar en invierno\n
832;832;feyta felekanoluem iñchiñ;si de esa forma no estamos nosotros.\n
833;833;feymu fey peñi uh p kütraniem eymün ;es por eso hermano que tenemos enfermo \n
835;835;mülelu pu lamngem kimüupuafuy ka ;las hermanas que hay aprenderían también \n
837;837;ka küpayayem re pülatamu;para traerlas con pura plata.\n
838;838;tukupayayem feyta traf puke re puke domo ;para llegar, solamente puras mujeres \n
840;840;tañi ngellipuyem peñi;para hacer rogativa hermano.\n
841;841;tripayayem eymin;Si sale usted.\n
842;842;pewmayem küme miawki;si sueña anda bien.\n 
843;843;veyta weya yawayem che;eso es cuando va a andar muy mal la persona\n
844;844;ka amuleyem che chewpülw rume;también cuando va la persona por cualquier lado\n
845;845;kümeyawayem kay patayme;si va andar bien, el ..........\n
846;846;kom mawelayem mawelkevuy;todo, para hacer llover, hacían llover,\n
848;848;kütraltukiyin piki ruem weya sufri;nos enfermamos decía, sufrimos mucho.\n 
850;850;ka eymün tamün poyem anümka tüfi peñi;también usteden en su planta agradecida esos hermano? \n
856;856;feymu mongeay tami trem che;así se va sanar su persona en crecimiento \n
857;857;meli fotilla yemem ;cuatro botella\n
859;859;amuayem che namuntu   ;cuando va a Argentina?\n
863;863;rapiyem  digestion pikey ta wingka ;cuando bomitan, digestión dice el huinca.\n
864;864;lüpümngeyem  despues fey lapantukulelngetukey ka ;Y cuando se quema después se coloca como parche pues.\n
865;865;ürem mamüllmu che;la madera húmeda la gente,\n
866;866;alütukevuy mongem che pingi;muchos años vivía la gente dicen.\n
867;867;kiñe ngem mayta tokafuy ;Había tocado un dueño\n
870;870;lay tañi chawem ;murió el que era mi padre\n
871;871;lay tañi lamuen em juanita pingefuy;murió la que era mi hermana que se llamaba Juanita\n
873;873;mongelepuy ñi peñiem finaw   nicola;allá estaba mi hermano el finado Nicolás, que aún estaba vivo\n
875;875;ñi chawem niekefuy anay ;Mi padre tenía, hombre.\n\n
876;876;feypilanu tañi lamuen em ;no me dijo la que era mi hermana.\n
877;877;rume küme machiem tañi lamuenengu nga ti;era muy buena machi mis dos hermanas pues\n
878;878;feyta pütremngi feychi pütrem ;entonces lo quemaban y ese quemado \n
879;879;fey pütrem mu deuma pütrem mangi pilun fey mongetukefuy ;cuando ya le echaban lo quemado el oido ese se mejoraba\n
880;880;fey müleyem nga mülekefuy nga kuyfi nga tralkanmu ;eso cuando hay habia era antes  con el trueno\n
881;881;pingekefuy nga tichi tralkan nga tiempumu hay allküyem ;le decian era el trueno era en el tiempo que se escuchaba\n
885;885;kutraniem foro;cuando dolia la muela \n
889;889;kuwem poñi ta duamtunengi ka ;papa asada en ceniza lo desean también  \n
891;891;pütrem o tabako ;cigarro o tabaco \n
892;892;ka pütrem elueyñmu;también cigarro nos daba.\n
896;896;fem kutrani mülerkelu;como hay todo tipo de enfermedad.\n
897;897;fem amulekalli may ;Así era como avanzaba pues\n
898;898;unetuy ni finawem  pu ;se fue primero mi finado pues,\n
899;899;pütrem ka kümey pingi fletan pingi;el cigarro también es bueno para fletar dicen\n
900;900;fey pütrem pengeli ;ahí cigarro se encontraba\n
901;901;pükem welu füta manginmu ;en el invierno, pero cuando es lluvioso.\n
902;902;fey ni finawem dapinenu  pu ;y mi difunto me cuidó pues,\n
912;912;kümeyawiyem wele witalimi kay ;entonces anda bien, si te lenantas por la izquierza  \n
913;913;weda peumayem tripakelan peñi ;si sueño mal entonces no salgo hermano,\n
915;915;mongelem üdeyaulel ;Lo andaban trayando para que se mejorara \n
920;920;p feymu ta wimkefuy yem tati ;por eso se acostumbraban \n
921;921;kurü ñarki kay katrürupayem rüpümu ;Si un gato negro se atraviesa en el camino\n
922;922;küme dungu pieneu ta pukem peñi;es buena cosa me dijo en invierno hermano.\n 
923;923;konpuy pukem antü ;cuando entra el sol del invierno \n
926;926;señalayem señalakeyngün ;los señalaban, señalaban \n
927;927;señalayem katrüpilunayem tañi kullin ta che ;también la gente señala cortándole la oreja al animal \n
929;929;entungepakey püuyem ta tripantu;lo viene a sacar en el invierno \n
930;930;katrüpilunayem wüla ta che ;la gente le cortaba la oreja \n
931;931;piren nayem rarakükey ;Con el granizo como que hierve \n
932;932;fey mawayem kiñe tati ;y da vuelta pues \n
933;933;mawürkey feyta raraküle pukem ;Da vuelta y hierve el agua en invierno\n
936;936;iñchiñ tamu ngellipuayem ;Nosotros tenemos que rogar \n
937;937;ngütrüm mawünayem pingeyiñ ;para llamar la lluvia decimos \n
938;938;tañi ngellipuyem peñi ;en nuestra rogativa hermano. \n
942;942;ketramapukevuy tañi chawem ;haraba la tierra mi papá\n
943;943;seuma trari manchun chawem ;ya cuando enyugaba los bueyes mi finado padre\n
944;944;vey inayawülkevun tañi chawem ;y andaba detrás de mi finado padre\n
945;945;ka kotuyem pürüm kutranki;Y cuando se moja de inmediato se enferma.\n 
948;948;tem pielngenga pielngenga ;me dijeron  \n
949;949;tem dungu rume pienu chi machi ;pocas palabras me dijo la machi \n
950;950;pichi pu trem domongele  ;es muy chica cuando sea una mujer \n
951;951;ta niepen anüwem fantepuy ;apenas me sente hasta ahí.\n
952;952; fem rumi ñi kutran ;así hizo mi enfermedad\n
954;954;re fem küwümu tukevi müten;en la mano no más le llega \n
962;962;kimpafulu ta kom ngütramem ka ;se venian a conocer todos de la conversación.\n
968;968;fem kom nieketufiñ ;así a todos los tengo \n
972;972;pu deu püuluyem ;cuando ya habían entrado\n
973;973;tañi puwüliyem tañi ;donde llegó pues \n
974;974;tupakenchi fey weñañgküleyem ;me entristezco \n
975;975;tañi ütrüfpuley tañi chawem ;estaba abandonado mi padre \n
980;980;femfiyem piken ka ;por que le hice eso digo también, \n
982;982;chumngechi che trokiukefuyem ;quizas que tipo de personas se consideraban \n
983;983;chumngechi tañi kontüukefelem ;quizas como se vistaban \n
984;984;fey tati pichikeche tati münakechi cheyem ;los niños ya no valorizan a la gente antigua \n
985;985;kom küme inanefile tati kuyfike dunguyem ;y si sigue todo bien los conocimientos antiguos \n
986;986;tañi kewün tañi pichikecheyem ka peñi ;la lengua a los niños chicos también hermano\n
987;987;fey tañi niafel tati  escuela feyem ta faltaley ta;eso debiera tener en su escuela, eso es lo que falta ahora\n
991;991;chumngechi tañi mongefelem kuyfi ;de cómo era la vida antiguamente,\n
992;992;kuyfi tañi chumlekefelem tañi fütakeche ;de cómo estaban sus antepasados \n
994;994;mapuche llemay fütra kuyfiche elkelafuy dunguyem ;El mapuche hace tiempo que ha dejado esta idea\n
996;996;tañi cough tañi nanüngem ;Me atendia mi suegra\n
997;997;fey ta kom mongeli kutrankelay piwiengünem ;estan todo vivo, no se enferma se dijeron \n
1002;1002;fey tüfi kay uh hm  allfüyem ;Y eso pues la herida\n
1003;1003;lafnoyem pitalmu yengekeyngün kom ;Para no morir el hospital lo lleban todo\n
1004;1004;welngiyem kay;Cuando se quebaran pues.\n 
1005;1005;kutraniyem peumakeymi lawen;Cuando te enferma sueña el remedio.\n 
1006;1006;kiñekemu femken noise pen ta pütrem ta ;Algunas veces lo ago cuando tengo cigarro pues\n
1011;1011;kutraniyem foro chumngechi lawentüukefuymün;Cuando tenían dolor de diente como se hacían remedio?\n
1012;1012;müleayem welu amukeymi;Pero cuando hay usted va.\n
1013;1013;uh konpuken anay feytañi chawem tañi;Entro pues este mi finado padre mi.
1015;1015;fem fey pe ka feypeno ;Así será eso seguramente\n
1016;1016;kimi tapütakeche kuyfiem ;sabía las gente mayor antiguamente\n
1017;1017;kuyfiem pütra kamapu wemü ;antiguamente pues, \n
1018;1018;uh kiduyem dewmay chi ta ka ;a lo mejor solo se preparo también \n
1019;1019;müleyem trawün ñi chew ñipuwi ;cuando hay reunión donde llegan \n
1020;1020;fotüm peñi femi ta fem rumele ;un hijo, hermano si algo le pasa de repente \n
1021;1021;uh putuyem yagelmu ta putukiñ ;bebo, de otro bebo \n
1022;1022;wechalkay em kiñekemu ;Hice mal algunas veces \n
1024;1024;pütrem reke chumngechi pütremtukukey;como cigarro, como si  fumara \n
1025;1025;müleki tüfi pukem ;se encuentran esos en invierno\n
1026;1026;pukem  walüng müleki;Invierno y  verano permanence,\n
1031;1031;feyta ahpienu tachi kude machiem ;entonces eso me dijo esta anciana finada machi \n
1032;1032;  no piafiel yewefunem ;para decirle no me dio vergüenza \n
1036;1036;tachi pütrem yerfa ;el cigarro de yerba\n
1037;1037;feyti kay ta poypoyem che;Cuando la gente se hincha\n
1038;1038;pütrem azucar engü;Con harta azucar.\n
1039;1039;peymafiem ko pu;\n
1040;1040;inchiñ nem tain mapumu;en nuestras tierras\n
1041;1041;ngenoyem  posta ngekelafuy;no habían posta \n
1042;1042;llankoyem lonko ;Para la caída del cabello \n
1043;1043;pukem ;en el invierno \n
1044;1044;chumlanu tem dume ;No me hizo nada \n
1045;1045;tüfa ta ñi topelem pi ;aquí en mi cerebro dice\n
1046;1046;fem chi kon niefin ;que lo tengo todos \n
1047;1047;veyta fem kümelingün tati ;entonces están bien pues \n
1048;1048;nieymufuyem mapu   ;Si tiene su tierra \n
1049;1049;kimfuyem lawen ;sabia si remedio \n
1050;1050;veymu mongeltungekevuy ñi chawem ;ahí se recuperaba mi finado padre \n
1057;1057;küymiyem machi ;Cuando esta en trance la machi \n
1058;1058;kiñe elaweni inger kevuy yem ;un niñito chico tenia mal pues \n
1060;1060;küme veyngevuy em pu ;mucho eso era pues \n
1065;1065;vem chey tüvi ;le hizo eso la gente \n
1066;1066;mülevuyem pu;Había pues. \n
1067;1067;mülevuyem pu  ;Están pues \n
1068;1068;pafmuyem che kay ;cuando tiene pasmo la gente pues. \n
1069;1069;pütakechey em feymew tremün abuelumu ;los ancianos por eso me críe donde el abuelo\n
1074;1074;wingka ial ta falilay pikefuy pütakecheem ;comida huinca no es valido decía los ancianos\n
1078;1078;feli ka lauem feli ka ta ka kaletulu ;Es así pues hermano es así pues esta diferent
1079;1079;pikefuy pütakecheem moyolngi feymu ;decían los ancianos le daban leche ahí\n
1080;1080;iñche feypikefenu ñi pütakecheem ;a mí me decía mis ancianos
1084;1084;vey ngen pewma ngeyem ;el es dueño del sueño\n
1085;1085;dewmangeyem petu veyta uh ;Sé esta haciendo ahora esta\n
1086;1086;kim tripan yemengeayem voye ;aprendí como se iba a buscar canelo\n
1089;1089;avichi kütral aviem chi kütral ;se termino el fuego, se termino el fuego \n
1090;1090;küme pukem ;buen invierno \n
1091;1091;rupan ikünüyem che ;\n
1092;1092;pukem spaespecialmente spasi spapu ;En el invierno especialmente si pues \n
1093;1093;ta uh allfüyem peñi ;se accidentan hermano \n
1094;1094;pulu miem ka;\n
1095;1095;wente piem tripay;\n
1096;1096;ti veyta pükem püran peñi ;eso porque subía en el invierno hermano\n
1097;1097;vewla ngelay pukem no;Ahora no hay invierno no\n
1098;1098;vem niekevuyngün   pu ;Así lo mantenían pues\n
1099;1099;ta inche rume pikefiñ pu trem kudeke ;es que yo les digo mucho a los mayores\n
1100;1100;püllü pu trem fütake che fütake ;anciana los ancianos mayores\n
1101;1101;lay chi machiyem por    eso   ;murió la finada machi por eso\n
1102;1102;pelotuenu kiñe ñaduem pilafun gitanu llükakefiñ;Me vió una cuñada no quería, a la gitana le tenía miedo.\n
1103;1103;vey vüreyem chi trapi ;si sale el olor fuerte del ají \n\n
1104;1104;vey vürenoyem ;y si no sale fuerte el olor\n
1105;1105;askintuyem pu wanglen ;cuando salen a mirar las estrellas \n
1106;1106;feyentuyem kiñe lawenmu ;le tienen confianza a un remedio\n
1107;1107;arengeyem ;Cuando hace calor\n
1108;1108;vey wütrengeyem tripawetukelay;y cuando hace frío no salen.\n
1109;1109;ngeyem che ;que tiene la gente. \n
1110;1110;y lüfiyem che ;y cuando se quema la gente \n
1111;1111;vem aftuki ;Así se termina.\n
1112;1112;walüngem ;En verano.\n
1113;1113;feymu dunguñpeenu tañi chawem ;entonces  con él habló por mí mi finado padre. \n
1114;1114;tañi chawemuem ;por la intervención de mi finado padre,\n
1118;1118;fey tüfachi kutran niem ;Esa enfermed que tienes \n
1119;1119;kidu ta pütramu ta elpueyu tañi chawem pikefuy;por su estómago, lo dejó, su difunto padre decía\n
1120;1120;müleyem napor deumaymuken friñ napor;cuando hay yuyo, hago yuyo frito.\n
1121;1121;spabueno spagracia chawem spa;Bueno gracia a tu finado padre\n
1122;1122;pütremangi feyta pütrem tukulelngi;se fuma este como cigarro se coloca.\n 
1123;1123;pütrem tukulelngi feyta pitrun konki feytichi;Se coloca commo cigarro este como cigarro entra ese.\n 
1124;1124;ka tripa ka tripanüem nütram wingka ;La gente de afuera conversación huinca\n
1125;1125;tremiyem y choyile ;Creció pues y creció pues\n
1126;1126;y trem rukamu gringo rukamu inche ka fey;y crecí en la casa del gringo y en mi casa también \n
1127;1127;ni fücha chawem tüfey;mi viejo padre este\n
1128;1128;ta rume küme lawenem ta fey;era muy buen remedio ese.\n
1130;1130;tañi chawem ta müley pikey fey  pero mamüll ;mi finado padre también decía que había pero  palo\n
1136;1136;mupitulayafuyengün pero feyem tañi  reloj ;no habrían creido pero eso era así mi reloj\n
1137;1137;paysanuem taiñ mollfüñ;paysano era nuestra sangre.\n
1138;1138;amuayiñ pingevuyem spa;vamos ir decían pues \n
1139;1139;kuyfi taiñ mapuyem spa;Ante nuestra tierra era \n
1140;1140;pikevuyem ;decía ante pues \n
1141;1141;mapumuyem spa;de la tierra pues \n
1142;1142;iñchiñ nge mapuyem spa;nosotros somos dueño tierra \n
1143;1143;re weche trem tremküleruputuyiñ ;puro jóvenes están creciendo \n
1144;1144;femngevuyem ka spapero ;Eso se hacia pues, pero...\n
1145;1145;feylle doy kümelevuyem ;Eso es más bueno era \n
1146;1146;fey femnoavelem ;eso no debería ser \n
1148;1148;pukem yal spa;para comerlo en el invierno \n
1150;1150;konki kom konkefuyem ;Entraba, todo entrábamos \n
1151;1151;inche tañi chawem ;mi finado padre\n
1152;1152;pichin tripantu nievuyem spa;Poco año tenemos \n
1155;1155;ñi pucha püñmoem inche;a mí mi finado suegro. \n
1156;1156;fem fey ta yafkaletuyiñ diosmu;pues estamos mal antes Dios.\n
1157;1157;tañi nanüng ngem ;mi ifunta cuñada \n
1158;1158;fem matufiñ akulu fau ;así lo hice cuando llego acá \n
1159;1159;inche tañi lamngenem ;Mis hermanas \n
1160;1160; pero inche lamngenem kimfuy ;pero mi hermana lo conocía \n
1161;1161;ümül ngeweki lonkoem ta pikefuy ;se resfreiga la cabeza decía \n
1166;1166;chawem ;donde \n
1167;1167;feyti may ñi chawem ;eso yo mi difunto padre \n
1169;1169;nentukefuy wem   poco ;se sacaba un buen poco \n
1170;1170;fey ürem küla antü;y se hechaba a romojar por tres días \n
1172;1172;famuechi rem chi  cordero ;así quedo el cordero \n
1175;1175;feley peñi fem femi llemay;Así es hermano,\n
1176;1176;fey chumngen rume kosechamu walüngmu o pukem rume;ya sea en tiempo de cosecha en verano o invierno,\n
1177;1177;feyta feypikefuy feypikefenu tani chuchuem pikefuy;Este entonces decía, que su abuela le contaba\n
1178;1178;tañi chuchuem pikefuy pekefenu;vendrán muchas enfermedades me decía mi abuela\n  
1180;1180;ta chi füta wentruem feyti feypipeyu nga;por ser hombre te digo esto, \n
1183;1183;allfuyem che golpiayüm ;cuando tiene herida la gente o se golpean \n
1184;1184;feyta kupakevuyem spa;entonces venia ante pues \n
1186;1186;lo spaantiguokümelekevuyem kuyfi  ;Los antiguos estaban bien ante \n
1188;1188;tañi chawem rume konkelay ;mi finado padre tampoco no a entrado.\n
1189;1189;nieki antüem tañi akuamün;tenían día para llegar \n
1191;1191;rume alüneyem kapa che lonkomew;Muchas hartas capas debe llevar la gente en la cabeza\n 
1192;1192;pafmuyem che;la gente que lleva el pasmo.\n
1193;1193;wellngeyem lawen ;No se lleva el remedio desparejo \n
1194;1194;ilelngeyem ;Lo comen.\n
1195;1195;ilelngeyem che ;Si le dan de comer a la persona\n
1196;1196;aliwen alin aliyem che kay;cuando la gente tiene fiebre\n
1197;1197;welu ngütramka ngeyem ;Pero en las conversaciones que llevavas \n
1198;1198;ngütramgeyem tüfipüle ;si es un aconversación por ahí\n
1199;1199;ka feli pu peñi vem vem;Tambien es asi pues hermano, asi es asi.\n
1200;1200;chaw em vewla latuy ;el que era mi padre murio hace poco\n
1201;1201;kiñe  hospital ñi ñi chaw em ;un hospital tenia, el que era mi padre\n
1202;1202;chaw em veyta;mi padre \n
1203;1203;nagkefuy vey tañi chaw em ;bajaba ese que era mi padre\n
1204;1204;vey kintungeki chi kim em  wuay  ;y se busca ése para la inteligencia\n
1205;1205;chaw em peñi niekevuy;el que era mi padre tenía hermano \n
1206;1206;vemechi vey uhm velekevuy ñi chaw em ;así es como estaba el que era mi padre\n
1207;1207;tifu kutranmu perdey ñi chauem  pu ;de la enfermedad del tifus murió mi padre pues.\n
1208;1208;femuechi perdey ñi chauem  pu;Así falleció mi padre pues.\n
1209;1209; que ñi chauem  pu;que mi finado padre pues.\n 
1210;1210;inche ñi chauem veyta perdey;Mi padre murió,\n
1211;1211;mülekefuy ñi wekuem ;estaban mi finado tío,\n
1212;1212;pu ñukentuem ;mis tías,\n 
1215;1215;trem nieyengün welu wechalkalelayengün;están cresiendo pero no están mal.\n 
1216;1216;kellupakelayngün kutranniem pichikeche ;no te vienen ayudar cuando se enferman los niños. \n
1217;1217;akuyem kiñeke kutran;llegan algunas enfermedades \n
1218;1218;trem wentru;hombre adulto,\n
1222;1222;kafem tukungi deyutufi chi lawen engu ;ese tro tambien lo coloco el remedio 
1223;1223;kiñe feyta kutranchengi doy ta chi mülepulu üyiw ta trawümkillem ;solo uno el que vive allá en trawünkillen,\n
1224;1224;feyta inchin tañi mapuche ngem tati ;nosotros que somos mapuche pues\n
1226;1226;tati fantenmu ta ni trem  ;ahora que crecí  \n
1227;1227;pütrün püñeñ ta niefunem ;hartos hijos había tenido\n
1228;1228;he a pukem felewetulay newe ;ni es el invierno no pasa eso pues.\n
